,ID,round,phase,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,dwmean_1,dwmean_2,dwmean_3,dwmean_4,schemas_1,schemas_2,schemas_3,schemas_4,RT_1,RT_2,RT_3,RT_4,payoff,accuracy,performance,novelty,breakR,afterbreak,type
49,5,9,18,16,12,3,6,32,15,4,7,0.429272727,0.8078125,0.787,0.328,5,5,2,6,14.166,12.925,3.935,2.624,4.5,0,18,1,-1,1,H
50,5,10,19,20,9,4,16,50,13,8,31,0.969333333,0.470357143,0.590111111,0.818625,3,3,3,3,49.436,6.585,5.311,26.196,3,0.5,36,1,-1,1,H
51,5,10,20,15,5,3,5,19,4,2,6,1.1143,0.354,0.975333333,0.670285714,6,3,3,6,22.286,1.77,2.926,4.692,4.5,0.5,18,1,-1,1,H
52,5,11,21,8,9,3,4,10,10,6,6,0.932545455,0.879181818,0.387428571,0.421714286,6,2,4,4,10.258,9.671,2.712,2.952,4,0,16,1,-1,1,H
53,5,11,22,19,10,20,3,66,19,125,3,0.666134328,0.5906,0.363444444,0.74775,5,5,2,3,44.631,11.812,45.794,2.991,3.75,0,15,1,-1,1,H
54,5,12,23,20,7,4,2,85,7,6,1,0.895337209,0.471875,0.340428571,0.3245,3,3,3,3,76.999,3.775,2.383,0.649,3,0.75,36,1,-1,1,H
55,5,12,24,19,5,2,2,40,14,1,1,1.31902439,0.301266667,0.851,1.0915,3,3,6,3,54.08,4.519,1.702,2.183,3.75,0.75,24,1,-1,1,H
56,5,13,25,7,11,5,3,16,32,13,7,0.693647059,0.587333333,0.182285714,0.160625,6,4,6,3,11.792,19.382,2.552,1.285,4.75,0,19,1,-1,1,H
57,5,13,26,7,19,4,12,12,41,4,16,0.966307692,1.231357143,0.2904,0.664882353,5,6,6,5,12.562,51.717,1.452,11.303,5.5,0,22,1,-1,1,H
58,5,14,27,12,13,10,8,31,26,19,9,0.782625,1.375666667,0.9542,0.5656,6,6,3,3,25.044,37.143,19.084,5.656,4.5,0.25,18,1,-1,1,H
59,5,14,28,20,4,2,4,110,4,1,11,0.452621622,0.2854,1.205,0.690833333,3,3,3,4,50.241,1.427,2.41,8.29,3.25,0.25,22,1,-1,1,H
60,8,1,1,20,8,18,20,88,19,84,99,0.545044944,0.62515,0.435058824,0.56273,6,6,6,4,48.509,12.503,36.98,56.273,5.5,0.25,40,0,-1,0,H
